Y,V1,V2,V3,V4,V5,V6,V7,V8,V9
" 7,198 ",61.2,0.228661,0.151235,0.218359,100.9939,100.2597,0.07,0.693208,2.517276
" 6,497 ",61.2,0.228661,0.151235,0.218359,101.0935,100.329,0.07,0.693208,2.517276
" 9,086 ",61.2,0.228661,0.151235,0.218359,101.1959,100.4025,0.07,0.693208,2.517276
" 8,671 ",63.4,0.264827,0.127879,0.23552,101.2877,100.4743,0.05,0.693939,2.799408
" 6,194 ",63.4,0.264827,0.127879,0.23552,101.3954,100.537,0.05,0.693939,2.799408
" 9,575 ",63.4,0.264827,0.127879,0.23552,101.5298,100.5861,0.05,0.693939,2.799408
" 10,565 ",66.9,0.204189,0.120897,0.222077,101.6484,100.6131,0.03,0.698619,2.63342
" 9,097 ",66.9,0.204189,0.120897,0.222077,101.7331,100.6104,0.03,0.698619,2.63342
" 9,866 ",66.9,0.204189,0.120897,0.222077,101.7786,100.5691,0.03,0.698619,2.63342
 ? ,67,0.212043,0.123172,0.216391,101.7656,100.4836,0.04,0.688172,2.394371
 ? ,67,0.212043,0.123172,0.216391,101.6869,100.3605,0.04,0.688172,2.394371
 ? ,67,0.212043,0.123172,0.216391,101.5832,100.2126,0.04,0.688172,2.394371
